idx,source_id1,source_id2,phot_g_mean_mag1,phot_g_mean_mag2,parallax1,parallax2,bp_rp1,bp_rp2,ra1,dec1,ra2,dec2,Sector
33,1299541551976279168,1299541556267631616,7.407562,7.546624,0.8280964,0.7888174,4.5966767300042175,4.336234609164413,251.0439733708325,23.51755641658979,251.04430642555118,23.517651421009425,117
34,1330261876785989504,1330261876784760448,10.873938,10.990866,1.2529211,1.1499224,1.735661364064567,1.7959010172081942,244.9799683450974,35.99327313150061,244.98024745880866,35.993070426343444,117
35,1330261876785989504,1330261876784760448,10.873938,10.990866,1.2529211,1.1499224,1.735661364064567,1.7959010172081942,244.9799683450974,35.99327313150061,244.98024745880866,35.993070426343444,117
36,1365644607645013888,1365644603349977984,11.177541,12.155339,1.1882505,1.0960684,1.0285320425118332,1.0280263531752014,263.3554842224158,49.197521483025,263.34241591256756,49.18854885078776,117
36,1365644607645013888,1365644603349977984,11.177541,12.155339,1.1882505,1.0960684,1.0285320425118332,1.0280263531752014,263.3554842224158,49.197521483025,263.34241591256756,49.18854885078776,118
36,1365644607645013888,1365644603349977984,11.177541,12.155339,1.1882505,1.0960684,1.0285320425118332,1.0280263531752014,263.3554842224158,49.197521483025,263.34241591256756,49.18854885078776,119
37,1380513475185564288,1380513475185563776,12.683972,12.704593,1.1129694,1.1523008,1.284263163789087,1.2756084290949337,245.22042060394196,39.792695946839295,245.22654847178694,39.785481311926404,117
39,1827018064823111680,1827018069155464832,9.152418,9.188221,1.3467245,1.2488527,1.9540801089613609,1.9632448050455331,299.81954817368364,22.257606965930343,299.81749548534486,22.254470672965542,119
39,1827018064823111680,1827018069155464832,9.152418,9.188221,1.3467245,1.2488527,1.9540801089613609,1.9632448050455331,299.81954817368364,22.257606965930343,299.81749548534486,22.254470672965542,120
40,1858238869293693696,1858238873605530240,12.081017,13.018326,1.252511,1.1858788,1.05423323443778,1.030479157449068,312.1106903561607,29.294485635986344,312.1073580135424,29.29579440662489,120
41,1865510150150915584,1865510150150914816,12.714672,12.724605,1.017127,1.021368,1.1163917155613392,1.0955925256599928,316.41387438982446,33.45506036721891,316.4097246416768,33.45010332985419,120
41,1865510150150915584,1865510150150914816,12.714672,12.724605,1.017127,1.021368,1.1163917155613392,1.0955925256599928,316.41387438982446,33.45506036721891,316.4097246416768,33.45010332985419,121
44,2052822951057506176,2052822946755034368,10.659579,11.877315,1.1259737,0.95878124,1.545156994101839,1.5582597238700444,290.21641622245437,38.4332270783681,290.20912774473857,38.43221303666207,119
44,2052822951057506176,2052822946755034368,10.659579,11.877315,1.1259737,0.95878124,1.545156994101839,1.5582597238700444,290.21641622245437,38.4332270783681,290.20912774473857,38.43221303666207,120
45,2057539993381925248,2057541470850672512,9.039211,9.465558,1.1129808,1.1275711,2.002514455917967,2.0096378192050914,304.82684123037154,36.58563487690799,304.82975869566263,36.58440673997462,120
46,2063575247059445632,2063575247059445760,15.5510025,16.391212,1.8114786,2.2419977,1.0251061178588072,1.0413889878129126,310.0181105564295,38.67126792335613,310.01733596803683,38.67043627429161,120
46,2063575247059445632,2063575247059445760,15.5510025,16.391212,1.8114786,2.2419977,1.0251061178588072,1.0413889878129126,310.0181105564295,38.67126792335613,310.01733596803683,38.67043627429161,121
47,2063676092895986816,2063676848811988864,10.064803,11.063895,1.3561878,1.2389317,1.2454010829273947,1.2478469203444131,311.132464020012,39.34737016099708,311.1269284521375,39.348110424602716,120
47,2063676092895986816,2063676848811988864,10.064803,11.063895,1.3561878,1.2389317,1.2454010829273947,1.2478469203444131,311.132464020012,39.34737016099708,311.1269284521375,39.348110424602716,121
48,2072560249951127936,2072560249928029696,9.36461,9.597361,1.2855234,1.2854147,1.7183360760350277,1.6985988666310707,299.0264650746021,38.75359166067047,299.0266595143868,38.75336002254317,119
48,2072560249951127936,2072560249928029696,9.36461,9.597361,1.2855234,1.2854147,1.7183360760350277,1.6985988666310707,299.0264650746021,38.75359166067047,299.0266595143868,38.75336002254317,120
49,2128114071351767680,2128114067050212352,11.974416,12.679009,0.84605694,1.033534,1.1778295875831812,1.1949171725392616,293.9451760131326,46.16479216642583,293.94442284494437,46.162700043042676,119
49,2128114071351767680,2128114067050212352,11.974416,12.679009,0.84605694,1.033534,1.1778295875831812,1.1949171725392616,293.9451760131326,46.16479216642583,293.94442284494437,46.162700043042676,120
49,2128114071351767680,2128114067050212352,11.974416,12.679009,0.84605694,1.033534,1.1778295875831812,1.1949171725392616,293.9451760131326,46.16479216642583,293.94442284494437,46.162700043042676,121
50,2169584557571064832,2169584557571064960,13.123039,16.608921,2.611827,2.7139492,1.3000226986278234,1.3041408061617048,317.04792132055445,52.37619429821151,317.04808736933205,52.374712178826286,121
51,2186419381965276928,2186419381967654528,12.622022,12.731372,1.27594,1.2692757,1.1356901490605804,1.1161945731544831,303.48951999584114,56.75101187626454,303.4879392119067,56.75103158683548,120
51,2186419381965276928,2186419381967654528,12.622022,12.731372,1.27594,1.2692757,1.1356901490605804,1.1161945731544831,303.48951999584114,56.75101187626454,303.4879392119067,56.75103158683548,121
54,2915722597109133184,2915721154000125440,10.387709,10.4881,1.1346483,1.2184143,1.030653011857425,1.057361129424202,88.30338528733938,-23.21025177563671,88.28206499298433,-23.215633647292567,108
54,2915722597109133184,2915721154000125440,10.387709,10.4881,1.1346483,1.2184143,1.030653011857425,1.057361129424202,88.30338528733938,-23.21025177563671,88.28206499298433,-23.215633647292567,110
55,2932092057513462272,2932091950127234688,11.32409,12.287683,1.1037407,1.1165819,1.6975883813315955,1.6733086309945324,104.8692748439117,-20.618352779039128,104.86267938783232,-20.631291080308475,108
55,2932092057513462272,2932091950127234688,11.32409,12.287683,1.1037407,1.1165819,1.6975883813315955,1.6733086309945324,104.8692748439117,-20.618352779039128,104.86267938783232,-20.631291080308475,109
55,2932092057513462272,2932091950127234688,11.32409,12.287683,1.1037407,1.1165819,1.6975883813315955,1.6733086309945324,104.8692748439117,-20.618352779039128,104.86267938783232,-20.631291080308475,110
55,2932092057513462272,2932091950127234688,11.32409,12.287683,1.1037407,1.1165819,1.6975883813315955,1.6733086309945324,104.8692748439117,-20.618352779039128,104.86267938783232,-20.631291080308475,111
56,2937124625305530496,2937124728380429824,10.590992,10.8679285,1.2874241,1.2520571,1.3041259493873172,1.2779015101932034,97.41944453973383,-22.17891453689786,97.41983530057846,-22.178791276098334,108
56,2937124625305530496,2937124728380429824,10.590992,10.8679285,1.2874241,1.2520571,1.3041259493873172,1.2779015101932034,97.41944453973383,-22.17891453689786,97.41983530057846,-22.178791276098334,109
56,2937124625305530496,2937124728380429824,10.590992,10.8679285,1.2874241,1.2520571,1.3041259493873172,1.2779015101932034,97.41944453973383,-22.17891453689786,97.41983530057846,-22.178791276098334,110
57,2937124625305530496,2937124728380429824,10.590992,10.8679285,1.2874241,1.2520571,1.3041259493873172,1.2779015101932034,97.41944453973383,-22.17891453689786,97.41983530057846,-22.178791276098334,108
57,2937124625305530496,2937124728380429824,10.590992,10.8679285,1.2874241,1.2520571,1.3041259493873172,1.2779015101932034,97.41944453973383,-22.17891453689786,97.41983530057846,-22.178791276098334,109
57,2937124625305530496,2937124728380429824,10.590992,10.8679285,1.2874241,1.2520571,1.3041259493873172,1.2779015101932034,97.41944453973383,-22.17891453689786,97.41983530057846,-22.178791276098334,110
58,2955110088617972352,2955110092912080896,11.083024,11.21453,0.90419674,0.7270918,1.9784886744760304,2.078695095222367,81.4329702782975,-27.33923679374595,81.43308203358364,-27.339579537405417,108
58,2955110088617972352,2955110092912080896,11.083024,11.21453,0.90419674,0.7270918,1.9784886744760304,2.078695095222367,81.4329702782975,-27.33923679374595,81.43308203358364,-27.339579537405417,109
59,2955110088617972352,2955110092912080896,11.083024,11.21453,0.90419674,0.7270918,1.9784886744760304,2.078695095222367,81.4329702782975,-27.33923679374595,81.43308203358364,-27.339579537405417,108
59,2955110088617972352,2955110092912080896,11.083024,11.21453,0.90419674,0.7270918,1.9784886744760304,2.078695095222367,81.4329702782975,-27.33923679374595,81.43308203358364,-27.339579537405417,109
60,3009195619636787584,3009195615341395712,10.640845,11.840111,1.3919945,1.3516798,1.1305899783270899,1.113744903828486,86.26213608354352,-11.91586322870035,86.26163688692947,-11.914041565232777,109
60,3009195619636787584,3009195615341395712,10.640845,11.840111,1.3919945,1.3516798,1.1305899783270899,1.113744903828486,86.26213608354352,-11.91586322870035,86.26163688692947,-11.914041565232777,110
61,3056149507790846976,3056149610870060032,10.39813,11.330772,1.2441273,1.0165472,1.6876154160421002,1.7076995621240485,115.30473109963681,-5.413603291222013,115.3058205743894,-5.41006794589852,111
61,3056149507790846976,3056149610870060032,10.39813,11.330772,1.2441273,1.0165472,1.6876154160421002,1.7076995621240485,115.30473109963681,-5.413603291222013,115.3058205743894,-5.41006794589852,112
63,3224768716940448640,3224768721237610496,11.621891,12.052174,0.7742491,0.96360207,1.3923089894380227,1.3482482570950034,74.34867993417517,-3.5650900829130374,74.3490565910072,-3.5651310155678013,110
64,3224768716940448640,3224768721237610496,11.621891,12.052174,0.7742491,0.96360207,1.3923089894380227,1.3482482570950034,74.34867993417517,-3.5650900829130374,74.3490565910072,-3.5651310155678013,110
65,3229362785758483968,3229362785758616960,11.076897,12.058454,1.2676868,0.84569836,1.075899051254498,1.007001099337763,69.5769969905723,-1.7444679505261882,69.57831995318669,-1.7454023351265966,110
